Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
KYAH FLORIDA - Triathlon Training Campand 3/9/17-3/12/17;Thursday, March  9, 2017 - Sunday, March 12, 2017;KYAH HEADQUARTERS SOUTH OCEAN BLVD POMPANO BEACH , FL 33062 ;triathlon; Triathlon Beginner Pompano Beach, FL;Ridgewood Tri Athlete LLC;http://www.Ridgewoodtriathlete.com;http://www.active.com//pompano-beach-fl/triathlon/camps/kyah-florida-triathlon-training-camp-3-9-17-3-12-17-2017?int=72-3-A10
2017 Castle Triathlon Series;Tuesday, May 24, 2016 - Sunday, December 31, 2017;Multiple Locations UK , GB , United Kingdom England ;triathlon; Triathlon Beginner;Castle Triathlon Series;http://www.castletriathlonseries.co.uk/;http://www.active.com//uk-gb/triathlon/races/2017-castle-triathlon-series-2016?int=72-3-A2
Sovereign Sea2Sky Challenge - Sunday, 2nd April 2017;Sunday, April  2, 2017 - Sunday, April  2, 2017;  Christchurch Christchurch Christchurch , New Zealand 8062 ;triathlon; Triathlon 5K Super Sprint Beginner;Tri NZ; ;http://www.active.com//christchurch/triathlon/races/sovereign-sea2sky-challenge-sunday-2nd-april-2017?int=72-3-A4
Sussex Triathlons 2017;Sunday, June 18, 2017 - Sunday, September 17, 2017;Ashburnham Place Ashburnham Battle , United Kingdom TN33 9NF ;triathlon; Triathlon International Sprint;TL Sports Events; ;http://www.active.com//battle/triathlon/races/sussex-triathlons-2017?int=72-3-A4
May Day Triathlon 2017;Monday, May  1, 2017;Kings' School Romsey Road Winchester , Hampshire , United Kingdom SO22 5PN ;triathlon; Triathlon Super Sprint Sprint Beginner;Rees Leisure;http://trytri.co.uk/events/may-day-tri.aspx;http://www.active.com//winchester-hampshire/triathlon/races/may-day-triathlon-2017?int=72-3-A11
Splash Pedal Dash Triathlon/Dash Pedal Dash Duathlon;Sunday, July 16, 2017;Meineke Recreation Center 220 E. Weathersfield Way Schaumburg , IL 60193 ;triathlon; Triathlon Sprint Beginner Schaumburg, IL;Schaumburg Park District;http://www.parkfun.com/programs/special-events/triathlon-duathlon;http://www.active.com//schaumburg-il/duathlon/races/splash-pedal-dash-triathlon-dash-pedal-dash-duathlon-2017?int=72-3-A7
Chasing Caterpillars Triathlon 2017;Sunday, February 19, 2017;Chasing Caterpillars Triathlon Sailfish Splash Park 931 SE Ruhnke Street Stuart , FL 34994 ;triathlon; Triathlon Sprint Beginner Stuart, FL;Chasing Caterpillars Sports, LLC;http://www.cctriathlon.com;http://www.active.com//stuart-fl/triathlon/races/chasing-caterpillars-triathlon-2017?int=72-3-A9
Triathlon Swimming: Learn to Swim (Total Immersion);Monday, November 28, 2016 - Wednesday, December 14, 2016;Waterside Fitness & Swim Club 901 6th St SW Washington , DC 20024 ;triathlon; Water Sports Beginner Washington, DC;OnPoint Fitness;http://www.onpointfitness.com;http://www.active.com//washington-dc/water-sports/swimming-classes/triathlon-swimming-learn-to-swim-total-immersion-2016-25891002?int=72-3-A1
Lehigh Valley Endurance Club - 2016 Membership;Friday, January  1, 2016 - Saturday, December 31, 2016;Lehigh Valley PA PO Box 172 Center Valley , PA 18034 ;triathlon;  ;Lehigh Valley Endurance Club;http://lvendurance.com;http://www.active.com//center-valley-pa/running/distance-running-memberships/lehigh-valley-endurance-club-membership-2016?int=72-3-A3
Chula Vista Challenge Triathlon - Half Ironman 2017;Sunday, August 13, 2017;Bayside Park 999 Bayside Parkway Chula Vista , CA 91910 ;triathlon; Triathlon Sprint Beginner Chula Vista, CA;KOZ Events;http://www.chulavistachallenge.com/;http://www.active.com//chula-vista-ca/duathlon/races/chula-vista-challenge-triathlon-half-ironman-2017?int=72-3-A7
Key West Triathlon Duathlon Aquabike;Saturday, December  2, 2017;  Higgs Beach Key West , FL 33040 ;triathlon; Triathlon Sprint International Beginner;MultiRace ;http://www.trikw.com;http://www.active.com//key-west-fl/triathlon/races/key-west-triathlon-duathlon-aquabike-2017?int=72-3-A4
Grizzly Winter Triathlon Solo;Saturday, February 11, 2017;Canmore Nordic Centre 1988 Olympic Way Canmore , AB , Canada T1W 2T6 ;triathlon; Triathlon;Grizzly Mountain Events;http://www.grizzlyevents.ca;http://www.active.com//canmore-ab/triathlon/races/grizzly-winter-triathlon-solo-2017?int=72-3-A5
Running a Half Marathon, Marathon, Half Ironman, Ironman (or combo) in all 50 States OR 100 HALFS;Saturday, March 16, 2013 - Sunday, December 31, 2017 @ 11:00 PM (CST);Register Online at OFFICIAL WEBSITE - See more detailed info below www.halfmarathonclub.com Fayetteville , AR 72701 ;triathlon; Running Distance Running Half Marathon Marathon Ironman Beginner Fayetteville, AR; ; ;http://www.active.com//fayetteville-ar/running/distance-running-memberships/running-a-half-marathon-marathon-half-ironman-ironman-or-combo-in-all-50-states-or-100-halfs-2013?int=72-3-A6
Charleston Sprint Triathlon 5 Race Option;Sunday, May 21, 2017 @  7:00 AM - Sunday, June 18, 2017 @ 12:00 PM;  871 Riverland Dr Charleston , SC 29412.0 ;triathlon; Triathlon Charleston, SC; ; ;http://www.active.com//charleston-sc/triathlon/classes/charleston-sprint-triathlon-5-race-option-2017-e?int=72-3-A1
Team Mossman Triathlon Club Annual Membership 2016;Friday, January  1, 2016 - Saturday, December 31, 2016;Multisports Academy 109 Sanford Street, Studio G Hamden , CT 06514 ;triathlon; Triathlon Beginner;Team Mossman Events;http://teammossman.com/;http://www.active.com//hamden-ct/triathlon/memberships/team-mossman-triathlon-club-annual-membership-2016?int=72-3-A9
TriActive Bairnsdale;Tuesday, October 18, 2016 - Sunday, November 27, 2016;Bairnsdale Aquatic & Recreation Centre 80 McKean Street BAIRNSDALE , VIC , Australia 3875 ;triathlon; Triathlon Super Sprint Beginner;Triathlon Victoria;http://www.triathlon.org.au/State_Associations/VIC/Getting_Involved/TriActive_-_Introductory_triathlon_programs.htm;http://www.active.com//bairnsdale-vic/triathlon/programs/triactive-bairnsdale-2016?int=72-3-A4
2016 Fall High Cadence Triathlon Training Camp - SOLD OUT;Wednesday, October 19, 2016 - Wednesday, December 14, 2016;Dimond Park Field House 2961 Riverside Drive Juneau , AK 99801 ;triathlon; Triathlon Beginner Juneau, AK;High Cadence Triathlon Training;http://highcadence.weebly.com/;http://www.active.com//juneau-ak/triathlon/camps/fall-high-cadence-triathlon-training-camp-sold-out-2016?int=72-3-A3
