Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
Twilight Indoor Triathlon 2017;Saturday, January  7, 2017;Cuyahoga Falls Natatorium - Corner Stow & 3rd St 2345 Fourth Street Cuyahoga Falls , OH 44221 ;triathlon; Triathlon Super Sprint Beginner;North Coast Multisports, Inc;https://endurancecui.active.com/event-reg/select-race?e=24431251;http://www.active.com//cuyahoga-falls-oh/triathlon/races/twilight-indoor-triathlon-2017?int=72-3-A4349c7ca7-ef4e-4d46-8b50-409ecffdca9b
Ironman 70.3 Calgary 2017;Sunday, July 23, 2017;Auburn Bay 200 Auburn Bay Boulevard SE Calgary , AB , Canada T3M 0A4 ;triathlon; Triathlon Half Ironman Beginner;Rocky Mountain Triathlon Company;http://www.ironmancalgary.com;http://www.active.com//calgary-ab/triathlon/races/ironman-70-3-calgary-2017-26920732?int=72-3-A5903801a6-fa0e-4411-a83c-c1a5b5634978
TOUGHMAN Indiana at Noblesville;Saturday, May 20, 2017;Morse Park and Beach 19777 Morse Park Lane Noblesville , IN 46060 ;triathlon; Duathlon Noblesville, IN;Heartland Endurance Sports;http://toughmanindiana.com;http://www.active.com//noblesville-in/duathlon/races/toughman-indiana-at-noblesville-2017?int=72-3-A6c431f392-df3d-4e3a-9c55-1733d5a4a4d4
Triathlon Base Training Programs;Sunday, September  1, 2013 @ 11:59 PM (PDT) - Sunday, January  1, 2017 @ 11:59 PM (PST);On-Line  Rancho Cucamonga , CA 91701 ;triathlon; Triathlon Marathon Ultra 10K Half Marathon 1 Mile 1K 5K 5 Mile International Ironman Sprint Half Ironman Beginner Rancho Cucamonga, CA; ;http://www.coach-tony.com;http://www.active.com//rancho-cucamonga-ca/running/distance-running-races/triathlon-base-training-programs-2013?int=72-3-A78b26a517-5227-466b-9b76-b3d6e5bc4892
HITS Triathlon Series - Ocala, FL 2017;Saturday, April  1, 2017 - Sunday, April  2, 2017;Ocala, FL Carney Island Park 13275 Southeast 115th Ave Ocklawaha , FL 32179 ;triathlon; Triathlon Sprint International Beginner;HITS, Inc.;http://www.hitstriathlonseries.com;http://www.active.com//ocklawaha-fl/triathlon/races/hits-triathlon-series-ocala-fl-2017?int=72-3-A824551906-394b-44e8-b20b-5b36a315ad5b
Indoor Triathlon USA: New York 2017;Sunday, March 12, 2017;Brooklyn Sports Club 1540 Van Siclen Ave Brooklyn , NY 11239 ;triathlon; Triathlon Beginner Brooklyn, NY;Indoor Triathlon USA;http://www.IndoorTriathlonUSA.com;http://www.active.com//brooklyn-ny/triathlon/races/indoor-triathlon-usa-new-york-2017?int=72-3-A95f0c43e1-e2ad-4f62-a7de-d53ac8ee53cf
Rev3 Williamsburg 2017;Sunday, July  9, 2017;Chickahominy Riverfront Park 1350 John Tyler Memorial Hwy Williamsburg , VA 23185 ;triathlon; Triathlon International Beginner Williamsburg, VA;ATP Productions;http://rev3tri.com;http://www.active.com//williamsburg-va/triathlon/races/rev3-williamsburg-2017?int=72-3-A10c6598990-927d-4fbf-a95b-8b58b9c2753c
Indoor Triathlon USA: Los Angeles 2017;Sunday, January  8, 2017;Bay Club - South Bay 2250 Park Place El Segundo , CA 90245 ;triathlon; Triathlon Beginner El Segundo, CA;Indoor Triathlon USA;http://www.IndoorTriathlonUSA.com;http://www.active.com//el-segundo-ca/triathlon/races/indoor-triathlon-usa-los-angeles-2017?int=72-3-A11eeef2cd0-e9c6-4ad0-bdbb-778fe8f34272
Laguna Niguel Triathlon;Sunday, January 29, 2017;Crown Valley Community Park 29751 Crown Valley Pkwy Laguna Niguel , CA 92677 ;triathlon; Triathlon 5K Super Sprint Beginner Laguna Niguel, CA;Renegade Racing;http://LagunaNiguelTriathlon.com;http://www.active.com//laguna-niguel-ca/running/races/laguna-niguel-triathlon-2017?int=72-3-A180ed66ae-5e79-48bc-b28f-b2ec08b0a39e
Tri Fort Worth Full Iron distance Triathlon;Sunday, May 21, 2017;Marine Creek 2664 Jim Wright freeway Fort Worth , TX 76116 ;triathlon; Other Endurance Fort Worth, TX;Trident Sports;http://www.trifortworth.com;http://www.active.com//fort-worth-tx/triathlon/races/tri-fort-worth-full-iron-distance-triathlon-2017?int=72-3-A2e14613e3-4d5f-4c7b-895c-88a048054617
Xterra Paraguay 2016;Saturday, December  3, 2016;XTERRA-PARAGUAY ( Ranking Nacional 2016 ) 0000,Altos,Cordillera Paraguay,PY Altos,Cordillera,Py , Cordilera,PY , Paraguay 0000 ;triathlon; Triathlon Beginner;Rebelocity LLC;http://www.xterraparaguay.com;http://www.active.com//altos-cordillera-py-cordilerapy/triathlon/races/xterra-paraguay-2016?int=72-3-A31340deb1-970f-4e8f-b4a3-d90af1bde765
2017 Havasu Triathlon and Mountain Collegiate Triathlon Conference Championships;Saturday, March 18, 2017;Havasu State Park 699 London Bridge Road Lake Havasu , AZ 86403 ;triathlon; Triathlon Sprint International Beginner;Tucson Racing;http://www.tucsonracing.com;http://www.active.com//lake-havasu-az/triathlon/races/havasu-triathlon-and-mountain-collegiate-triathlon-conference-championships-2017?int=72-3-A436f1c1eb-a114-432a-91cb-e5bf4f9a7119
2017 USA Triathlon Age Group National Championships;Saturday, August 12, 2017 - Sunday, August 13, 2017;Carter Lake, Levi Carter Park 4405 Carter Lake Shore Dr Omaha , NE 68110 ;triathlon; Triathlon International Sprint Beginner Omaha, NE;USA Triathlon;https://www.teamusa.org/usa-triathlon/events/national-championships/2017/2017-age-group-national-championships;http://www.active.com//omaha-ne/triathlon/races/usa-triathlon-age-group-national-championships-2017?int=72-3-A5e3fe3f7d-abcb-49c0-8eb1-c98defaa2e30
Sarina Beach Triathlon;Saturday, November  5, 2016;Sarina Beach Surf Club 1 Owen Jenkins Drive Sarina Beach , QLD , Australia 4737 ;triathlon; Triathlon Sprint Beginner;Mackay Triathlon Club;http://mackaytriclub.com.au/;http://www.active.com//sarina-beach-qld/triathlon/races/sarina-beach-triathlon-2016?int=72-3-A60458926b-ebdf-4319-8cfd-80cecd57dc4d
Honolulu Triathlon 2017;Sunday, May 14, 2017;Ala Moana Beach Park/Magic Island 1201 Ala Moana Blvd Honolulu , HI 96814 ;triathlon; Triathlon 10K Sprint International Beginner Honolulu, HI;Honolulu Triathlon;http://www.honolulutriathlon.com;http://www.active.com//honolulu-hi/running/races/honolulu-triathlon-2017?int=72-3-A79c0aed6d-ec83-4041-80a0-281edbb79b2b
La Habana Triathlon;Saturday, February 25, 2017 - Sunday, February 26, 2017;Marina Hemingway Calle 248 Y 5Ta Av. Santa Fe Playa , Havana , Cuba 11300 ;triathlon; Triathlon Sprint Half Ironman Beginner;Eventos Latinoamerica, S.L.;http://triathlonhavana.com;http://www.active.com//santa-fe-playa-havana/triathlon/races/la-habana-triathlon-2017?int=72-3-A8f914bd2b-03b1-4416-a344-6a5950b415ff
Tri To Help Pennsylvania Indoor Triathlon Epilepsy Fundraiser;Sunday, February 12, 2017;Universal Athletic Club 2323 Oregon Pike Lancaster , PA 17601 ;triathlon; Triathlon Sprint Beginner Lancaster, PA;Stroup Kids For Kids Epilepsy Foundation;http://www.stroupkidsforkids.org/race;http://www.active.com//lancaster-pa/triathlon/races/tri-to-help-pennsylvania-indoor-triathlon-epilepsy-fundraiser-2017?int=72-3-A9c58f9e8b-2538-4c01-b687-ead802ecd84c
Indoor Triathlon USA: Seattle 2017;Sunday, January 29, 2017;Meadowbrook Pool 10515 35 Ave NE Seattle , WA 98104 ;triathlon; Triathlon Beginner Seattle, WA;Indoor Triathlon USA;http://www.IndoorTriathlonUSA.com;http://www.active.com//seattle-wa/triathlon/races/indoor-triathlon-usa-seattle-2017-2018?int=72-3-A109c6ff0e1-a6b7-4d06-8626-a8f16a094400
2017 Capitol View Triathlon and Duathlon;Sunday, May 21, 2017;Governor Nelson State Park 5140 Cty Hwy M Waunakee , WI 53597 ;triathlon; Duathlon Sprint International Beginner Waunakee, WI;Capitol View Events;http://www.capitolviewtriathlon.com;http://www.active.com//waunakee-wi/duathlon/races/capitol-view-triathlon-and-duathlon-2017?int=72-3-A11d630d85b-4312-4cbe-8028-38bf629a7450
HITS Triathlon Series - Hudson Valley, NY 2017;Saturday, July  8, 2017;Williams Lake 424 Williams Lake Rd Kingston , NY 12401 ;triathlon; Triathlon Sprint International Beginner Kingston, NY;HITS, Inc.;http://www.hitstriathlonseries.com;http://www.active.com//kingston-ny/triathlon/races/hits-triathlon-series-hudson-valley-ny-2017?int=72-3-A171d62d9e-afad-42e9-9b41-56992e185cd8
